timestamp;cpu_usage;network;ram_usage;storage_usage
2025-08-25T15:30:19.005;46.304949;{'172.16.181.3': 0, '0.0.0.0': 1416, '172.16.181.1': 8196};11.784690366972477;0.0003734528
2025-08-25T15:30:19.497;46.899271;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 9734};11.789605176933158;0.0003899392
2025-08-25T15:30:19.964;46.934359;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:20.448;46.94277;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:20.922;46.952516;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:21.394;46.960487;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:21.847;46.969037;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:22.330;46.977852;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:22.808;46.985724;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:23.278;46.998399;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003653632
2025-08-25T15:30:23.760;47.417972;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003915776
2025-08-25T15:30:24.212;47.429964;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.000393216
2025-08-25T15:30:24.674;47.446971;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:25.133;47.452855;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:25.601;47.45973;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:26.066;47.466667;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:26.528;47.471722;{'172.16.181.3': 0, '0.0.0.0': 1472, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:26.994;47.477874;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:27.462;47.484316;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 10363};11.789605176933158;0.0003801088
2025-08-25T15:30:27.926;47.537461;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 11755};11.789605176933158;0.0003801088
2025-08-25T15:30:28.378;47.71545;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 15252};11.896092726081259;0.0003801088
2025-08-25T15:30:28.870;47.790856;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 15252};11.897730996068152;0.0005211136
2025-08-25T15:30:29.387;47.798958;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 15252};11.897730996068152;0.0005211136
2025-08-25T15:30:29.872;47.813612;{'172.16.181.3': 0, '0.0.0.0': 1528, '172.16.181.1': 15252};11.897730996068152;0.0005211136
