timestamp;cpu_usage;network;ram_usage;storage_usage
2025-08-25T15:33:08.482;45.654372;{'172.16.182.3': 0, '0.0.0.0': 1416, '172.16.182.1': 8196};11.725559059633026;0.0005211136
2025-08-25T15:33:14.249;46.520724;{'172.16.182.3': 0, '0.0.0.0': 1472, '172.16.182.1': 10363};11.745218299475754;0.0005211136
2025-08-25T15:33:19.788;46.86826;{'172.16.182.3': 0, '0.0.0.0': 1528, '172.16.182.1': 10363};11.745218299475754;0.0005211136
2025-08-25T15:33:25.204;46.950847;{'172.16.182.3': 0, '0.0.0.0': 1528, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:30.693;47.141345;{'172.16.182.3': 0, '0.0.0.0': 1528, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:36.026;47.210994;{'172.16.182.3': 0, '0.0.0.0': 1584, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:41.652;47.331886;{'172.16.182.3': 0, '0.0.0.0': 1584, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:47.385;47.418012;{'172.16.182.3': 0, '0.0.0.0': 1584, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:53.211;47.50113;{'172.16.182.3': 0, '0.0.0.0': 1584, '172.16.182.1': 10363};11.746856569462647;0.0005211136
2025-08-25T15:33:59.241;47.611571;{'172.16.182.3': 0, '0.0.0.0': 1584, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:05.449;47.976308;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:11.434;48.060152;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:17.287;48.152421;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:23.013;48.225113;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:28.470;48.327449;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:34.333;48.398667;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:40.077;48.472189;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.750133109436435;0.0005211136
2025-08-25T15:34:46.210;48.565402;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.776345429226737;0.0005211136
2025-08-25T15:34:51.861;48.636862;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.776345429226737;0.0005211136
2025-08-25T15:34:57.322;48.706581;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.776345429226737;0.0005211136
2025-08-25T15:35:02.773;48.776815;{'172.16.182.3': 0, '0.0.0.0': 1640, '172.16.182.1': 10363};11.776345429226737;0.0005211136
2025-08-25T15:35:08.242;48.88864;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.776345429226737;0.0005211136
2025-08-25T15:35:14.008;49.040972;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.77798369921363;0.0005211136
2025-08-25T15:35:19.485;49.131301;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
2025-08-25T15:35:24.882;49.194393;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
2025-08-25T15:35:30.349;49.263116;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
2025-08-25T15:35:36.033;49.335541;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
2025-08-25T15:35:41.697;49.407522;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
2025-08-25T15:35:47.300;49.474914;{'172.16.182.3': 0, '0.0.0.0': 1696, '172.16.182.1': 10363};11.804196019003932;0.0005211136
